name,1,2,3,4,5,6,7,8,9,10
Traditional colaborative filtering,1.3526917089169972,1.5473578054868986,0.9668869744005646,1.1552790123654506,0.9322003962881756,1.2449805610203262,1.0402580896819231,0.9672468569778375,0.5645176229944036,1.0190157081044176
"affective filtering (interest,average)",1.5979876372721455,1.3914102449354881,1.7917842250196097,0.8087223581337972,0.7839908952220065,1.3083785906327645,1.544372828141009,1.5760451200449466,1.2528422345468686,1.1608695523095667
"affective filtering (interest,sum)",1.3658486667070067,1.3198133574707138,0.7251082514821361,1.5454865104999502,2.2397254473826314,1.105403466210482,1.0151823195346201,0.6432774290144321,1.7987243991786857,1.1589175933733185
"affective filtering (engagement,average)",1.3504987205569605,1.5239496520401905,0.8487839120085382,1.5858933362624565,1.2329147142936663,1.504096045547,1.5605255297772855,0.8567029215170884,0.6087446691277125,1.5284922604043727
"affective filtering (engagement,sum)",1.549147956985989,1.2948071709767746,0.946736079942127,1.3959734404497206,1.2231910804854111,0.9850651093077,1.9879316420705657,0.9284947117286275,0.9682248605821846,1.9009601003635024
"affective filtering (focus,average)",1.560344436847854,1.0814462814424826,1.5585836222118055,1.5593141854480774,1.454373305251411,1.2309055778122244,1.3788363747800543,1.5047472121269623,1.099418504517468,1.4795108605485787
"affective filtering (focus,sum)",1.4002958987048395,1.525199959897346,1.591725796081189,1.421918918662393,0.9636115570468503,1.5114313265195705,1.604355050179106,1.0160044849177714,1.065367468558288,1.4685498446084364
"affective filtering (relaxation,average)",1.2998383111332268,1.93938205711633,1.1248579956432767,0.8499116528812999,1.1896869836180728,1.783958675220031,0.52735120691608,0.9149129529069695,1.4370893907775395,0.9718762489106422
"affective filtering (relaxation,sum)",1.6772630581987458,1.413991585793207,1.3936654378969375,1.5067983751626093,1.7433361923802928,1.1264077453536285,0.877134295066621,1.5350905242454282,1.0221691686262753,1.4344098165125072
"affective filtering (instantaneousExcitement,average)",1.723112962826853,1.0585923199040783,1.7202260607310151,1.593006247560853,0.6847901496223789,1.385766677109037,1.473988462854959,0.8648303483059189,1.2818484150723268,1.333977673503454
"affective filtering (instantaneousExcitement,sum)",1.6320866860572667,0.8962701564012335,1.6171111800001492,1.0828818323564522,0.5872963869452773,1.0870629645280938,0.8039262968386891,1.9094239770533281,1.3820771360514452,1.818888127012762
