name,1,2,3,4,5,6,7,8,9,10
Traditional colaborative filtering,0.1661911258481341,0.24076053917494486,0.9343761985786342,0.1900908657629897,0.03981266571796205,0.6548213890159583,0.18465480553455738,0.23564963051903995,0.39354201902769365,0.674173916554019
affective filtering (interest),-1.0,1.0,2.0,3.0,2.0401691331923892,1.0401691331923892
affective filtering (engagement)
affective filtering (focus),0.6118684843624695,-1.38813151563753,3.6118684843624695,1.61186848436247,-1.6247995188452284,0.37520048115477156,-1.6247995188452284,2.61186848436247,0.6118684843624695
affective filtering (relaxation),0.38813151563753023,1.3059342421812348,1.5,0.4767771466302724,1.7431587350054816,0.42349081734956906,0.0512659517587124,0.380423047309675,0.7325581395348839,1.6722133119486766
affective filtering (instantanºeousExcitement),0.2870782741506719,0.24408716305913858,1.9323453428490664,1.299941377594644,0.23213320222988876,0.18432445764500438,1.1381574166718955,0.23578216830166884,0.7803293773316429,0.025583047707021578
