name,1,2,3,4,5,6,7,8,9,10
Traditional colaborative filtering,1.6879826340760815,1.1930628768359046,1.6446474998486456,1.1638956711314483,1.181116433677491,1.234719822021758,0.9664758733472919,0.954902026490259,0.7792207224346597,0.960129457779086
affective filtering (interest),-1.0,1.0,2.0,3.0,2.0401691331923892,1.0401691331923892
affective filtering (engagement)
affective filtering (focus),0.6118684843624695,-1.38813151563753,3.6118684843624695,1.61186848436247,-1.6247995188452284,0.37520048115477156,-1.6247995188452284,2.61186848436247,0.6118684843624695
affective filtering (relaxation),1.0726817204702828,2.65005603226902,1.5811388300841898,2.5678726633764715,1.7480959657123563,2.3136021269048133,0.1103438535496616,2.2636409683225205,1.239613418691009,1.9800577047266035
affective filtering (instantaneousExcitement),0.6913312561291832,1.440912589476534,2.2147130481927926,1.5055484392898462,0.8803483791839705,0.8350713469345974,1.2688995116674158,0.5300238010918267,1.67590658640425,1.0604331600385877
