name,1,2,3,4,5,6,7,8,9,10
Traditional colaborative filtering,0.21769882202608365,0.6128968107524309,0.955596532922158,0.6092703686933715,0.11915149057978423,0.13986796113940658,0.23255124885905967,0.20346170884059944,0.5909199308773395,0.5906601391805512
affective filtering (interest),1.0,1.8160676532769557,0,0,0,0,0,0,0,0
affective filtering (engagement),0,0,0,0,0,0,0,0,0,0
affective filtering (focus),0,0,0,0,0,0,0,0,0,0
affective filtering (relaxation),0.4154900332225915,1.8884966777408638,0.5726583496620803,0,0,0,0,0,0,0
affective filtering (instantaneousExcitement),0.14413296202507514,0.3406111866178363,0.4332389098755449,0,0.44199215216278426,0.5230227949846742,1.4897298565118788,0.4341830624118579,0.05275664898644861,0.21132486540518722
