name,1,2,3,4,5,6,7,8,9,10
Traditional colaborative filtering,1.3891635286421022,1.49090731208852,0.9998840503151514,1.0740518139199773,0.9725255739411238,1.1471951644047254,0.9520868275182618,0.4108360525754384,0.9484724682103939,0.9090920863935534
affective filtering (interest),1.0,1.9618482060382345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affective filtering (engagement),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affective filtering (focus),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affective filtering (relaxation),2.001791525715105,2.025763726218523,1.7197195381087464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affective filtering (instantaneousExcitement),1.139874204649333,1.8260544583121343,1.035094081626161,0.0,0.5335479922654855,0.5230227949846742,1.5033125835822936,0.44408569968200057,1.2016049390626433,1.391528768415013
